EmployeeID,JoiningYear,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,LeavingYear,Reason,RelievingStatus,office_code,JobLevel_updated,Tenure,EmploymentStatus
100059,2010,51,Travel_Rarely,731,Corporate Functions,1,Bachelors,263,2,Male,64,2,3,Married,19973,5690,0,No,14,3,1,1,33,5,3,12,6,4,4,No,Still Employed,Still Active,Employment Ongoing,BOS,L6,15.0,Still Employed
100060,2010,51,Travel_Rarely,274,Corporate Functions,18,Bachelors,548,3,Male,74,3,2,Married,11630,3075,0,Yes,12,2,3,0,33,2,2,12,4,5,4,Yes,2022.0,Misconduct,Involuntary,NYC,L6,12.0,Left
100061,2010,51,Travel_Rarely,718,Corporate Functions,1,Diploma,258,3,Male,63,2,3,Married,19935,5732,0,No,14,3,1,1,33,4,3,12,6,4,4,No,Still Employed,Still Active,Employment Ongoing,OTT,L6,15.0,Still Employed
100062,2010,55,Travel_Rarely,485,Corporate Functions,1,Masters,476,4,Male,82,3,1,Married,19158,18892,0,Yes,13,3,3,0,35,2,3,12,3,2,4,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,15.0,Still Employed
100063,2010,47,Travel_Rarely,1058,Marketing,6,Doctorate,856,2,Male,91,2,1,Married,10438,2620,6,Yes,13,4,4,1,28,1,2,9,3,3,3,Yes,2019.0,career change,Voluntary,MKM,L3,9.0,Left
100064,2010,51,Travel_Rarely,689,HR,1,Doctorate,262,3,Male,64,2,3,Married,19953,5633,0,No,13,3,1,0,33,4,3,12,6,4,4,No,Still Employed,Still Active,Employment Ongoing,PHL,L5,15.0,Still Employed
100065,2010,52,Travel_Rarely,266,Corporate Functions,2,Diploma,1038,1,Female,57,1,4,Married,19845,25846,1,No,15,2,4,1,33,3,3,12,5,3,4,Yes,2022.0,Misconduct,Involuntary,BOS,L6,12.0,Left
100066,2010,52,Travel_Rarely,607,Corporate Functions,2,Masters,1559,2,Male,77,2,4,Single,10068,14593,0,No,15,4,2,1,32,3,3,11,3,1,3,Yes,2021.0,reallocation out of the area,Voluntary,CAL,L6,11.0,Left
100067,2011,52,Travel_Rarely,584,Delivery,10,Diploma,1346,1,Male,87,3,2,Single,15074,7452,4,Yes,16,4,2,0,24,2,2,8,3,1,3,Yes,2019.0,career change,Voluntary,NYC,L4,8.0,Left
100068,2011,54,Travel_Rarely,711,Corporate Functions,22,Diploma,1380,3,Female,61,2,4,Married,19575,23206,1,No,19,3,3,1,35,3,2,11,2,1,4,No,Still Employed,Still Active,Employment Ongoing,PHL,L6,14.0,Still Employed
100069,2011,51,Travel_Frequently,237,Corporate Functions,9,Bachelors,1282,4,Male,83,3,2,Divorced,19847,19196,4,Yes,24,4,1,1,31,5,2,11,4,4,4,No,Still Employed,Still Active,Employment Ongoing,NYC,L6,14.0,Still Employed
100070,2011,48,Travel_Rarely,1009,Corporate Functions,7,Bachelors,819,2,Male,91,2,1,Married,10431,2665,6,Yes,13,3,4,1,28,1,2,9,3,3,3,Yes,2020.0,unhappy,Voluntary,MKM,L6,9.0,Left
100071,2011,51,Travel_Rarely,522,Sales,13,Masters,1778,3,Male,61,2,2,Married,10461,15459,1,No,14,4,2,1,28,3,3,8,2,1,2,Yes,2019.0,retiring,Voluntary,CAL,L3,8.0,Left
100072,2011,50,Travel_Rarely,1209,Corporate Functions,19,Diploma,1608,2,Male,42,2,3,Single,11234,20682,2,Yes,15,3,3,1,31,2,3,11,3,4,5,No,Still Employed,Still Active,Employment Ongoing,TOR,L6,14.0,Still Employed
100073,2011,44,Travel_Rarely,353,Corporate Functions,2,Doctorate,1293,1,Female,81,2,4,Married,11421,13947,4,No,12,5,3,2,25,4,3,9,3,3,3,Yes,2020.0,maternity leave - did not return,Voluntary,TOR,L6,9.0,Left
100074,2011,49,Travel_Rarely,336,Corporate Functions,15,Masters,610,3,Male,84,2,3,Married,10121,4057,1,Yes,11,3,4,1,30,3,2,11,4,5,3,Yes,2022.0,long hours,Voluntary,VAN,L6,11.0,Left
100075,2011,51,Travel_Rarely,427,Delivery,3,Masters,880,1,Male,56,1,4,Married,18160,25718,1,Yes,15,5,4,0,30,2,3,10,4,2,3,Yes,2021.0,career change,Voluntary,CAL,L4,10.0,Left
100076,2011,49,Travel_Rarely,906,Marketing,2,Masters,915,1,Male,97,3,1,Married,17904,4606,1,No,11,3,3,1,30,3,3,11,2,5,3,No,Still Employed,Still Active,Employment Ongoing,NYC,L4,14.0,Still Employed
100077,2011,57,Travel_Rarely,788,Corporate Functions,8,Bachelors,130,3,Female,41,3,3,Single,13807,24327,1,No,12,3,2,0,33,1,1,11,3,1,3,No,Still Employed,Still Active,Employment Ongoing,BOS,L6,14.0,Still Employed
100078,2011,39,Travel_Frequently,203,Delivery,2,Bachelors,1127,1,Male,84,3,4,Divorced,12169,13547,7,No,11,4,4,3,21,4,3,7,3,4,2,Yes,2018.0,retiring,Voluntary,VAN,L4,7.0,Left
100079,2011,52,Travel_Rarely,677,Corporate Functions,4,Diploma,755,2,Female,36,2,1,Married,16853,10060,1,No,12,3,1,0,34,2,3,11,3,1,5,No,Still Employed,Still Active,Employment Ongoing,OTT,L6,14.0,Still Employed
100080,2011,43,Travel_Rarely,904,Sales,7,Doctorate,1215,2,Male,65,2,1,Single,15976,2467,0,Yes,13,4,1,0,23,2,2,8,4,3,5,Yes,2019.0,retiring,Voluntary,PHL,L4,8.0,Left
100081,2011,57,Travel_Rarely,317,Corporate Functions,2,Diploma,822,4,Male,34,3,1,Married,19290,25429,6,No,12,1,4,0,38,2,3,11,5,5,3,Yes,2022.0,Misconduct,Involuntary,PHL,L6,11.0,Left
100082,2011,51,Travel_Rarely,540,Product,10,Bachelors,1734,3,Male,64,2,2,Married,10399,15280,1,No,14,3,2,1,29,3,3,8,2,1,2,Yes,2019.0,offered more money,Voluntary,PHL,L3,8.0,Left
100083,2011,52,Travel_Rarely,727,Corporate Functions,3,Masters,747,3,Female,30,2,1,Married,16819,10111,1,No,11,3,1,0,33,2,3,11,2,1,5,No,Still Employed,Still Active,Employment Ongoing,VAN,L6,14.0,Still Employed
100084,2011,52,Travel_Rarely,268,Corporate Functions,2,Doctorate,1011,1,Male,53,1,3,Married,19769,25835,1,Yes,14,1,4,0,33,2,3,11,5,3,3,Yes,2022.0,Misconduct,Involuntary,PHL,L6,11.0,Left
100085,2011,50,Travel_Rarely,611,Corporate Functions,5,Bachelors,1490,2,Male,76,2,4,Married,9525,14458,0,No,14,5,2,1,26,3,3,10,3,1,3,Yes,2021.0,career change,Voluntary,MKM,L6,10.0,Left
100086,2011,60,Travel_Rarely,422,Corporate Functions,7,Masters,549,1,Female,41,3,1,Married,19566,3854,5,No,11,3,4,0,33,5,1,11,3,4,4,No,Still Employed,Still Active,Employment Ongoing,CAL,L6,14.0,Still Employed
100087,2011,49,Travel_Rarely,394,Corporate Functions,1,Diploma,525,4,Male,71,2,1,Divorced,19105,19199,0,No,13,3,2,0,30,2,3,11,3,2,4,No,Still Employed,Still Active,Employment Ongoing,PHL,L6,14.0,Still Employed
100088,2011,49,Travel_Rarely,1238,Corporate Functions,3,Doctorate,675,1,Male,98,3,2,Married,18200,8036,1,No,11,3,3,1,31,2,3,11,2,4,3,No,Still Employed,Still Active,Employment Ongoing,NYC,L6,14.0,Still Employed
100089,2011,48,Travel_Rarely,782,Corporate Functions,3,Bachelors,843,1,Female,98,3,1,Married,17813,4648,1,No,11,3,4,0,29,3,3,11,3,5,3,No,Still Employed,Still Active,Employment Ongoing,OTT,L6,14.0,Still Employed
100090,2011,48,Travel_Rarely,893,Corporate Functions,1,Masters,284,2,Male,60,2,3,Married,19845,5751,0,No,15,3,1,1,30,5,3,11,6,3,4,No,Still Employed,Still Active,Employment Ongoing,OTT,L6,14.0,Still Employed
100091,2011,49,Travel_Rarely,849,Corporate Functions,2,Diploma,885,1,Female,98,3,1,Married,17888,4577,1,No,11,3,4,0,30,3,3,11,3,5,3,No,Still Employed,Still Active,Employment Ongoing,OTT,L6,14.0,Still Employed
100092,2011,49,Travel_Rarely,1245,Corporate Functions,18,Doctorate,638,4,Male,58,2,3,Divorced,19502,2125,1,Yes,17,3,3,1,31,5,3,11,4,1,4,No,Still Employed,Still Active,Employment Ongoing,VAN,L6,14.0,Still Employed
100093,2011,51,Travel_Frequently,826,Corporate Functions,6,Bachelors,1353,3,Female,82,3,2,Married,13967,17648,1,No,11,3,1,1,33,1,3,11,4,1,4,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,14.0,Still Employed
100094,2011,43,Travel_Rarely,447,Corporate Functions,11,Doctorate,872,2,Male,78,2,2,Married,10008,4406,1,Yes,11,2,4,1,24,3,2,9,3,4,3,Yes,2020.0,Misconduct,Involuntary,MKM,L6,9.0,Left
100095,2011,50,Travel_Rarely,543,Corporate Functions,3,Masters,924,3,Female,34,2,1,Married,16806,10340,2,No,11,3,1,0,31,2,4,11,3,1,5,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,14.0,Still Employed
100096,2011,50,Non-Travel,881,Corporate Functions,2,Bachelors,905,1,Male,98,3,1,Divorced,17924,4544,1,No,11,3,4,1,31,3,3,11,3,5,3,No,Still Employed,Still Active,Employment Ongoing,OTT,L6,14.0,Still Employed
100097,2011,49,Travel_Rarely,877,Corporate Functions,2,Bachelors,904,1,Male,97,3,1,Married,17913,4552,1,No,11,3,3,1,30,3,3,11,2,5,3,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,14.0,Still Employed
100098,2011,52,Travel_Rarely,302,Corporate Functions,6,Diploma,1003,4,Male,82,3,1,Divorced,19601,19116,2,No,20,3,1,0,32,4,2,11,4,3,4,No,Still Employed,Still Active,Employment Ongoing,VAN,L6,14.0,Still Employed
100099,2011,57,Travel_Rarely,427,Marketing,2,Bachelors,812,4,Male,46,3,1,Married,19443,24293,6,No,12,3,4,0,34,2,3,8,4,4,3,Yes,2019.0,medical issues,Voluntary,MKM,L5,8.0,Left
100100,2011,52,Travel_Rarely,301,Marketing,6,Diploma,1010,4,Male,82,3,1,Divorced,19606,19118,2,No,21,3,1,0,32,4,2,11,4,3,4,No,Still Employed,Still Active,Employment Ongoing,NYC,L5,14.0,Still Employed
100101,2011,47,Travel_Rarely,362,Corporate Functions,15,Masters,811,3,Male,61,3,2,Married,12535,2808,0,No,12,5,2,0,28,2,2,10,4,5,4,Yes,2021.0,reallocation out of the area,Voluntary,TOR,L6,10.0,Left
100102,2011,50,Travel_Rarely,943,Corporate Functions,20,Bachelors,636,2,Female,69,2,2,Married,16984,9564,0,No,13,3,1,0,29,2,3,11,3,4,4,No,Still Employed,Still Active,Employment Ongoing,VAN,L6,14.0,Still Employed
100103,2011,49,Travel_Rarely,855,Corporate Functions,2,Masters,889,1,Male,98,3,1,Married,17895,4571,1,No,11,3,4,0,30,3,3,11,3,5,3,No,Still Employed,Still Active,Employment Ongoing,TOR,L6,14.0,Still Employed
100104,2011,52,Non-Travel,807,Corporate Functions,2,Bachelors,336,1,Male,74,2,3,Married,18885,21028,1,No,17,3,4,0,31,2,3,11,3,5,4,No,Still Employed,Still Active,Employment Ongoing,BOS,L6,14.0,Still Employed
100105,2011,51,Travel_Rarely,406,Delivery,2,Diploma,901,1,Male,56,1,4,Married,18383,25735,1,Yes,15,4,4,0,30,2,3,10,5,2,3,Yes,2021.0,unhappy,Voluntary,VAN,L4,10.0,Left
100106,2011,49,Travel_Rarely,397,Corporate Functions,1,Doctorate,515,4,Male,72,2,1,Divorced,19101,19182,0,No,13,3,2,0,31,2,3,11,3,2,4,No,Still Employed,Still Active,Employment Ongoing,TOR,L6,14.0,Still Employed
100107,2011,50,Travel_Rarely,731,Marketing,19,Bachelors,1675,2,Female,67,2,3,Married,19520,22868,3,No,18,3,3,0,30,2,3,11,3,2,5,No,Still Employed,Still Active,Employment Ongoing,PHL,L5,14.0,Still Employed
100108,2011,50,Travel_Frequently,1234,Delivery,20,Masters,1606,2,Male,41,3,3,Married,11245,20689,2,Yes,15,3,3,1,32,3,3,11,3,5,5,No,Still Employed,Still Active,Employment Ongoing,CAL,L4,14.0,Still Employed
100109,2011,51,Travel_Rarely,729,Corporate Functions,19,Doctorate,1671,2,Male,66,2,3,Married,19522,22875,2,No,18,3,3,0,31,2,3,11,3,2,5,No,Still Employed,Still Active,Employment Ongoing,MKM,L6,14.0,Still Employed
100110,2011,47,Travel_Rarely,928,Corporate Functions,7,Bachelors,1580,2,Male,77,1,3,Married,14312,24499,5,Yes,11,3,3,0,26,3,1,9,3,5,4,Yes,2020.0,unhappy,Voluntary,MKM,L6,9.0,Left
100111,2011,52,Travel_Rarely,309,Corporate Functions,2,Doctorate,1013,1,Male,59,1,3,Married,19846,25400,1,No,14,2,4,1,32,2,3,11,5,2,3,Yes,2022.0,Misconduct,Involuntary,NYC,L6,11.0,Left
